profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana xi;mediana fx;desviacion estandar xi;desviacion estandar fx;cantidad de valores distintos xi;cantidad de valores distintos fx;tiempo ejecucion
0;0;0;1;1;1;2552;1;1012.25;1;2;0.0;1220.4;1;116;471,36122465133667
0;1;0;1;1;1;2554;1;1031.25;1;2;0.0;1223.82;1;122;508,3409743309021
0;2;0;1;1;1;2552;1;1034.08;1;2;0.0;1224.52;1;121;514,7994267940521
1;0;0.25;1;111;1;2556;2.74;1470.16;2;2466;4.65;1221.55;43;130;679,0783882141113
1;0;0.5;1;278;1;2557;5.03;1903.28;2;2479;10.77;1053.18;78;134;876,0887825489044
1;0;0.75;1;346;1;2584;6.08;2094.9;3;2483;13.5;906.17;90;137;959,0646016597748
1;0;1;2;512;2;2636;8.47;2395.86;3;2487;20.05;467.62;113;144;1099,2359528541565
1;1;0.25;1;53;1;2545;1.92;1276.51;1;2447;2.47;1242.0;28;124;589,1774489879608
1;1;0.5;1;145;1;2558;3.38;1638.44;2;2472;6.13;1178.14;56;123;750,4796051979065
1;1;0.75;1;195;1;2550;4.21;1836.78;2;2477;8.23;1091.81;63;122;846,7506213188171
1;1;1;1;399;1;2564;7.39;2378.82;3;2486;16.41;506.03;103;138;1071,7878131866455
1;2;0.25;1;64;1;2549;1.92;1256.03;1;2442;2.69;1242.89;32;116;570,1212511062622
1;2;0.5;1;176;1;2556;3.38;1540.56;2;2470;6.76;1206.52;57;130;697,2184522151947
1;2;0.75;1;247;1;2551;4.21;1677.68;2;2474;9.15;1164.09;64;126;761,1065957546234
1;2;1;1;491;1;2635;7.39;2104.78;3;2483;18.29;896.78;107;135;950,042323589325
4;0;0.25;1;960;1;2826;739.37;2680.68;841;2720;219.59;183.13;652;352;3552,9576148986816
4;0;0.5;1;2168;1;3180;1713.35;2961.84;1936;3045;481.16;236.94;1032;637;3889,8081192970276
4;0;0.75;1;2730;1;3356;2174.64;3101.4;2449;3208;588.46;280.62;1135;749;3914,947514295578
4;0;1;2;3766;2;3771;3193.27;3460.01;3473;3603;690.14;346.86;1150;946;3441,2325963974
4;1;0.25;1;506;1;2664;405.85;2560.17;441;2590;95.09;252.93;372;191;2274,893411874771
4;1;0.5;1;1230;1;2834;1018.63;2690.04;1109;2737;235.61;269.29;671;339;2621,839935541153
4;1;0.75;1;1634;1;2905;1363.88;2762.77;1484;2818;312.97;280.21;774;398;2684,3841304779053
4;1;1;1;3244;1;3253;2732.61;3048.03;2968;3137;627.96;337.26;1052;649;2269,0797939300537
4;2;0.25;1;548;1;2727;382.54;2302.44;469;2631;180.4;863.61;411;255;2204,065131187439
4;2;0.5;1;1410;1;3022;1011.21;2506.22;1249;2893;478.01;952.83;715;503;2677,31316447258
4;2;0.75;1;1947;1;3195;1390.29;2637.43;1720;3055;656.8;1001.34;852;586;2784,379955291748
4;2;1;1;3742;1;3762;2732.61;3062.37;3376;3575;1287.21;1170.49;1046;861;2368,9083576202393
6;0;0.25;1;978;1;2845;869.41;2739.44;935;2773;166.99;178.01;160;238;4727,312613964081
6;0;0.5;1;2202;1;3200;2014.12;3094.9;2154;3153;347.65;209.72;212;210;5171,1098618507385
6;0;0.75;1;2761;1;3371;2550.26;3267.44;2714;3340;408.09;237.35;230;196;5251,202541589737
6;0;1;2;3771;2;3775;3682.04;3688.05;3769;3771;278.17;261.99;146;120;4573,1444528102875
6;1;0.25;1;512;1;2684;477.75;2591.51;482;2615;47.45;251.0;73;121;2883,356166601181
6;1;0.5;1;1251;1;2844;1200.42;2765.04;1212;2791;117.91;267.58;111;113;3304,2178983688354
6;1;0.75;1;1665;1;2939;1603.26;2857.45;1620;2885;157.19;276.47;124;102;3379,335722923279
6;1;1;1;3261;1;3261;3219.12;3224.03;3256;3257;314.72;311.96;116;84;2847,1859261989594
6;2;0.25;1;555;1;2730;448.26;2338.34;518;2665;180.08;874.17;87;167;2794,6008129119873
6;2;0.5;1;1440;1;3026;1198.54;2603.79;1392;2976;481.66;977.42;117;161;3093,5076785087585
6;2;0.75;1;1964;1;3204;1646.56;2766.91;1913;3160;661.77;1030.42;132;163;3207,6525745391846
6;2;1;1;3749;1;3771;3219.12;3282.03;3746;3762;1293.8;1228.06;107;147;2695,8050017356873
