profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana;desviacion estandar;tiempo ejecucion
0;0;0.25;1;1;1;10;1;3.51;3;2.37;0.0010325908660888672
0;0;0.5;1;1;1;12;1;3.97;3;2.95;0.0009603500366210938
0;0;0.75;1;1;1;8;1;3.43;2;2.56;0.0010287761688232422
0;0;1;1;1;1;9;1;3.89;3;2.84;0.002989530563354492
0;1;0.25;1;1;1;13;1;3.74;3;3.02;0.0019953250885009766
0;1;0.5;1;1;1;12;1;3.63;3;2.69;0.0019943714141845703
0;1;0.75;1;1;1;12;1;3.54;2;2.92;0.000997304916381836
0;1;1;1;1;1;9;1;3.6;3;2.66;0.001994609832763672
0;2;0.25;1;1;1;8;1;3.17;2;2.41;0.0019948482513427734
0;2;0.5;1;1;1;12;1;3.63;3;3.06;0.0010211467742919922
0;2;0.75;1;1;1;9;1;3.97;3;3.04;0.000995635986328125
0;2;1;1;1;1;9;1;3.83;2;2.75;0.001994609832763672
1;0;0.25;1;8;1;18;3.23;7.69;7;4.06;0.004988908767700195
1;0;0.5;1;8;1;20;3.23;7.66;8;4.3;0.003988981246948242
1;0;0.75;2;20;2;29;7.74;12.14;10;6.26;0.003988504409790039
1;0;1;2;20;2;30;7.74;12;10;6.59;0.0039882659912109375
1;1;0.25;1;5;1;10;2.11;4.03;4;2.58;0.0019948482513427734
1;1;0.5;1;5;1;9;2.11;4.49;5;2.73;0.0009970664978027344
1;1;0.75;1;11;1;13;4.37;5.37;6;3.43;0.000997304916381836
1;1;1;1;11;1;13;4.37;5.26;6;3.32;0.001993894577026367
1;2;0.25;1;7;1;18;2.11;6.74;6;4.25;0.001995086669921875
1;2;0.5;1;7;1;19;2.11;7.26;7;4.45;0.001995086669921875
1;2;0.75;1;19;1;29;4.37;10.49;8;7.49;0.003989219665527344
1;2;1;1;19;1;30;4.37;11.14;11;7.37;0.00697779655456543
4;0;0.25;1;31;1;34;22.43;26.43;31;9.45;0.011968374252319336
4;0;0.5;1;31;1;34;22.43;26.34;29;9.39;0.009587764739990234
4;0;0.75;34;35;34;35;34.94;34.97;35;0.17;0.014960765838623047
4;0;1;34;35;34;35;34.94;34.97;35;0.17;0.013961553573608398
4;1;0.25;1;8;1;12;2.89;4.69;5;3.06;0.001995086669921875
4;1;0.5;1;8;1;11;2.89;4.91;5;3.16;0.0029611587524414062
4;1;0.75;1;13;1;13;5.66;5.66;6;3.59;0.0019905567169189453
4;1;1;1;13;1;13;5.66;5.66;6;3.59;0.0019953250885009766
4;2;0.25;1;18;1;26;2.89;8.34;8;6.01;0.0029914379119873047
4;2;0.5;1;18;1;26;2.89;8.26;7;6.38;0.0029921531677246094
4;2;0.75;1;26;1;33;5.66;12.11;10;9.62;0.003989219665527344
4;2;1;1;26;2;34;5.66;12.31;9;9.64;0.0039899349212646484
6;0;0.25;1;31;1;34;27.57;30.09;34;9.94;0.026959896087646484
6;0;0.5;1;31;1;34;27.57;29.94;34;10.15;0.019014596939086914
6;0;0.75;35;35;35;35;35;35;35;0.0;0.021911144256591797
6;0;1;35;35;35;35;35;35;35;0.0;0.0229642391204834
6;1;0.25;1;8;1;12;2.89;4.31;4;2.82;0.002987384796142578
6;1;0.5;1;8;1;10;2.89;4.43;5;2.94;0.0029964447021484375
6;1;0.75;1;13;1;13;5.66;5.66;6;3.59;0.0019948482513427734
6;1;1;1;13;1;13;5.66;5.66;6;3.59;0.002017974853515625
6;2;0.25;1;18;1;26;2.89;7.89;7;5.8;0.002994060516357422
6;2;0.5;1;18;1;26;2.89;8.06;7;5.69;0.003016233444213867
6;2;0.75;1;26;1;34;5.66;12.34;10;9.64;0.003966331481933594
6;2;1;1;26;1;33;5.66;12.2;10;9.62;0.0039882659912109375
