profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana xi;mediana fx;desviacion estandar xi;desviacion estandar fx;cantidad de valores distintos xi;cantidad de valores distintos fx;tiempo ejecucion
0;0;0;1;1;1;1207;1;1.83;1.0;1.0;0.0;11.67;1;113;2081.842430830002
0;1;0;1;1;1;1096;1;1.82;1.0;1.0;0.0;11.36;1;112;2005.2091662883759
0;2;0;1;1;1;994;1;1.87;1.0;1.0;0.0;12.51;1;123;2013.567349433899
1;0;0.25;1;168;1;1275;1.23;12.26;1.0;1.0;1.33;94.64;21;502;1998.0377552509308
1;0;0.5;1;295;1;1303;1.42;19.95;1.0;1.0;2.28;123.14;28;658;1986.9589097499847
1;0;0.75;1;1189;1;2064;2.5;72.86;2.0;2.0;8.77;239.81;59;1046;2041.9900028705597
1;0;1;1;1208;1;1994;2.52;73.79;2.0;2.0;8.92;241.05;61;1035;2039.2535138130188
1;1;0.25;1;168;1;1296;1.12;2.16;1.0;1.0;1.29;15.62;21;140;1987.8907706737518
1;1;0.5;1;295;1;1314;1.21;2.27;1.0;1.0;2.23;16.57;28;150;1983.0788462162018
1;1;0.75;1;1188;1;1710;1.82;3.47;1.0;1.0;8.76;24.85;58;231;2001.0301668643951
1;1;1;1;1207;1;1528;1.83;3.44;1.0;1.0;8.9;24.9;60;221;1987.312262058258
1;2;0.25;1;10;1;1247;1.12;11.97;1.0;1.0;0.34;93.67;8;481;2002.552392244339
1;2;0.5;1;15;1;1289;1.21;19.79;1.0;1.0;0.46;123.19;10;645;2007.94726395607
1;2;0.75;1;36;1;1951;1.82;72.15;2.0;2.0;0.9;240.09;25;1044;2048.5478930473328
1;2;1;1;36;1;1888;1.83;73.43;2.0;2.0;0.9;241.87;25;1058;2041.7702071666718
4;0;0.25;1;308;1;2131;2.0;39.2;1.0;1.0;5.74;183.88;90;979;2025.4107432365417
4;0;0.5;1;547;1;2395;2.83;62.15;1.0;2.0;10.42;236.46;132;1155;2042.7228004932404
4;0;0.75;1;2036;1;3146;8.02;135.82;2.0;3.0;40.82;375.57;299;1684;2107.4464449882507
4;0;1;1;2073;1;3266;8.11;137.13;2.0;3.0;41.48;378.15;300;1674;2114.964606285095
4;1;0.25;1;308;1;1396;1.49;5.04;1.0;1.0;4.91;39.51;70;346;2041.9304144382477
4;1;0.5;1;547;1;1566;1.94;5.8;1.0;1.0;9.16;42.92;105;377;2008.7664473056793
4;1;0.75;1;2036;1;2436;4.66;9.02;1.0;1.0;36.93;67.95;228;504;2002.9400334358215
4;1;1;1;2073;1;2460;4.72;9.17;1.0;1.0;37.55;68.59;235;510;2006.0752539634705
4;2;0.25;1;57;1;2185;1.52;36.91;1.0;1.0;2.18;180.45;42;910;2010.24760389328
4;2;0.5;1;86;1;2264;1.91;59.43;1.0;2.0;3.5;234.04;61;1135;2031.2383017539978
4;2;0.75;1;312;1;2931;4.67;131.11;2.0;2.0;13.51;370.22;178;1620;2097.605175971985
4;2;1;1;319;1;3021;4.72;132.47;2.0;2.0;13.69;372.81;176;1623;2100.8773124217987
6;0;0.25;1;382;1;2413;3.37;62.52;1.0;1.0;12.97;251.52;178;1301;2077.891845226288
6;0;0.5;1;700;1;2627;5.38;90.92;1.0;2.0;23.75;317.94;266;1595;2114.0301156044006
6;0;0.75;1;2716;1;4041;17.57;184.67;2.0;3.0;89.54;522.33;575;2180;2201.768029689789
6;0;1;1;2757;1;3948;17.8;186.14;2.0;3.0;90.96;524.63;578;2179;2175.1729712486267
6;1;0.25;1;379;1;1539;2.15;8.63;1.0;1.0;10.18;66.44;136;496;2006.9781816005707
6;1;0.5;1;693;1;1734;3.23;9.91;1.0;1.0;19.43;73.36;202;530;2015.0069103240967
6;1;0.75;1;2698;1;2890;9.58;16.01;1.0;1.0;75.5;119.16;393;638;2021.435650587082
6;1;1;1;2739;1;2890;9.72;16.01;1.0;1.0;76.76;119.94;411;647;2009.4852499961853
6;2;0.25;1;85;1;2224;2.24;57.81;1.0;1.0;5.86;244.4;71;1243;2041.6808607578278
6;2;0.5;1;141;1;2484;3.19;85.54;1.0;2.0;9.7;310.3;115;1467;2073.4822976589203
6;2;0.75;1;554;1;3482;9.62;174.72;2.0;2.0;38.09;506.87;340;2049;2191.0561287403107
6;2;1;1;561;1;3538;9.72;176.03;2.0;2.0;38.58;509.05;348;2032;2171.578817844391
