profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana xi;mediana fx;desviacion estandar xi;desviacion estandar fx;cantidad de valores distintos xi;cantidad de valores distintos fx;tiempo ejecucion
0;0;0;1;1;2.5695051133151756e-05;0.031013926717714167;1;4.703584813651432e-05;1.0;2.5695051133151756e-05;0.0;0.0;1;113;2081,842430830002
0;1;0;1;1;2.5695051133151756e-05;0.028161776041934324;1;4.6859565217234e-05;1.0;2.5695051133151756e-05;0.0;0.0;1;112;2005,2091662883759
0;2;0;1;1;2.5695051133151756e-05;0.025540880826352846;1;4.8104769658292745e-05;1.0;2.5695051133151756e-05;0.0;0.0;1;123;2013,567349433899
1;0;0.25;1;168;2.5695051133151756e-05;0.03276119019476849;1.23;0.0003150221984035021;1.0;2.5695051133151756e-05;1.33;0.0;21;502;1998,0377552509308
1;0;0.5;1;295;2.5695051133151756e-05;0.03348065162649674;1.42;0.0005127310850863881;1.0;2.5695051133151756e-05;2.28;0.0;28;658;1986,9589097499847
1;0;0.75;1;1189;2.5695051133151756e-05;0.05303458553882522;2.5;0.0018722170357483882;2.0;5.139010226630351e-05;8.77;0.01;59;1046;2041,9900028705597
1;0;1;1;1208;2.5695051133151756e-05;0.0512359319595046;2.52;0.001896120867555669;2.0;5.139010226630351e-05;8.92;0.01;61;1035;2039,2535138130188
1;1;0.25;1;168;2.5695051133151756e-05;0.033300786268564676;1.12;5.551987627416271e-05;1.0;2.5695051133151756e-05;1.29;0.0;21;140;1987,8907706737518
1;1;0.5;1;295;2.5695051133151756e-05;0.03376329718896141;1.21;5.820505467383711e-05;1.0;2.5695051133151756e-05;2.23;0.0;28;150;1983,0788462162018
1;1;0.75;1;1188;2.5695051133151756e-05;0.0439385374376895;1.82;8.925329647936654e-05;1.0;2.5695051133151756e-05;8.76;0.0;58;231;2001,0301668643951
1;1;1;1;1207;2.5695051133151756e-05;0.03926203813145588;1.83;8.828935242637302e-05;1.0;2.5695051133151756e-05;8.9;0.0;60;221;1987,312262058258
