profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana;desviacion estandar;tiempo ejecucion
0;0;0;1;1;1;2;1;1.06;1;0.23;0,0019757747650146484
0;1;0;1;1;1;2;1;1.06;1;0.23;0,002001047134399414
0;2;0;1;1;1;2;1;1.06;1;0.23;0,0020177364349365234
1;0;0.25;1;7;1;9;2.77;2.91;2;1.83;0,0029892921447753906
1;0;0.5;1;9;1;11;3.86;4.09;4;2.47;0,004933595657348633
1;0;0.75;2;16;2;23;6.14;6.66;5;4.39;0,005117177963256836
1;0;1;2;18;2;25;7.29;8.43;7;5.96;0,005986690521240234
1;1;0.25;1;5;1;5;1.89;1.91;2;1.08;0,002025604248046875
1;1;0.5;1;7;1;7;2.43;2.46;2;1.57;0,0020263195037841797
1;1;0.75;1;9;1;9;3.57;3.6;3;2.21;0,001993894577026367
1;1;1;1;10;1;10;4.14;4.14;4;2.76;0,0029611587524414062
1;2;0.25;1;7;1;9;1.89;2.06;1;1.82;0,003023386001586914
1;2;0.5;1;8;1;10;2.43;2.69;2;2.57;0,003981828689575195
1;2;0.75;1;15;1;23;3.57;4.23;2;5.07;0,005011081695556641
1;2;1;1;16;1;25;4.14;5.51;3;6.92;0,006969451904296875
4;0;0.25;1;7;1;9;3.09;3.23;3;1.93;0,006003856658935547
4;0;0.5;1;9;1;11;4.17;4.4;4;2.49;0,005988121032714844
4;0;0.75;2;17;2;23;7.06;7.54;7;4.22;0,007008552551269531
4;0;1;2;18;2;25;8.34;9.46;8;5.7;0,007978200912475586
4;1;0.25;1;5;1;6;2.2;2.23;2;1.46;0,0029921531677246094
4;1;0.5;1;7;1;7;2.74;2.77;2;1.88;0,0030210018157958984
4;1;0.75;1;10;1;10;4.49;4.51;4;2.77;0,002994537353515625
4;1;1;1;12;1;12;5.2;5.2;5;3.45;0,0020046234130859375
4;2;0.25;1;11;1;12;2.4;2.66;1;2.95;0,003953218460083008
4;2;0.5;1;12;1;14;3;3.43;2;4.01;0,006015777587890625
4;2;0.75;1;21;1;27;4.51;5.6;2;7.75;0,0069501399993896484
4;2;1;1;24;1;31;5.26;6.94;3;9.37;0,011967182159423828
6;0;0.25;1;7;1;9;3.09;3.23;3;1.93;0,01000833511352539
6;0;0.5;1;9;1;11;4.17;4.4;4;2.49;0,009975194931030273
6;0;0.75;2;17;2;23;7.06;7.54;7;4.22;0,010970830917358398
6;0;1;2;18;2;25;8.34;9.46;8;5.7;0,013962507247924805
6;1;0.25;1;5;1;6;2.2;2.23;2;1.46;0,004026174545288086
6;1;0.5;1;7;1;7;2.74;2.77;2;1.88;0,003953695297241211
6;1;0.75;1;10;1;10;4.49;4.51;4;2.77;0,00598454475402832
6;1;1;1;12;1;12;5.2;5.2;5;3.45;0,005983829498291016
6;2;0.25;1;11;1;12;2.4;2.66;1;2.95;0,007011890411376953
6;2;0.5;1;12;1;14;3;3.43;2;4.01;0,008944511413574219
6;2;0.75;1;21;1;27;4.51;5.6;2;7.75;0,0080108642578125
6;2;1;1;24;1;31;5.26;6.94;3;9.37;0,010972261428833008
