profundidad;direccion;probvecinos;min xi;max xi;min fx;max fx;promedio xi;promedio fx;mediana xi;mediana fx;desviacion estandar xi;desviacion estandar fx;cantidad de valores distintos xi;cantidad de valores distintos fx;tiempo ejecucion
0;0;0;1;1;1;1004;1;1.69;1.0;1.0;0.0;7.44;1;55;2112,26731801033
0;1;0;1;1;1;1004;1;1.69;1.0;1.0;0.0;7.44;1;55;2077,056007862091
0;2;0;1;1;1;1004;1;1.69;1.0;1.0;0.0;7.44;1;55;2068,226811170578
1;0;0.25;1;318;1;1890;1.41;18.78;1.0;2.0;2.36;118.34;27;138;2058,523827791214
1;0;0.5;1;561;1;1970;1.73;32.15;2.0;2.0;4.14;156.59;39;205;2090,0387947559357
1;0;0.75;1;919;1;2007;2.17;51.79;2.0;2.0;6.76;199.48;52;273;2144,2846145629883
1;0;1;1;1145;1;2007;2.45;64.85;2.0;2.0;8.49;222.78;58;320;2168,023955821991
1;1;0.25;1;315;1;1105;1.21;1.9;1.0;1.0;2.31;12.07;27;65;2022,9751517772675
1;1;0.5;1;559;1;1171;1.38;2.04;1.0;1.0;4.1;13.51;39;69;2016,1400933265686
1;1;0.75;1;918;1;1276;1.62;2.22;1.0;1.0;6.73;15.03;49;80;2025,7288558483124
1;1;1;1;1144;1;1336;1.79;2.37;1.0;1.0;8.48;17.1;58;84;2022,094321489334
1;2;0.25;1;13;1;1890;1.21;18.57;1.0;2.0;0.46;117.97;11;121;2083,6002407073975
1;2;0.5;1;19;1;1970;1.38;31.89;1.0;2.0;0.61;156.37;16;186;2084,9279642105103
1;2;0.75;1;31;1;2007;1.62;51.45;2.0;2.0;0.8;199.36;20;253;2158,92334318161
1;2;1;1;35;1;2007;1.79;64.47;2.0;2.0;0.88;222.65;24;297;2174,2052223682404
4;0;0.25;1;520;1;1890;2.14;20.07;1.0;2.0;9.52;119.58;103;240;2054,88903093338
4;0;0.5;1;953;1;1970;3.05;34.45;2.0;2.0;17.4;159.52;154;348;2082,2213394641876
4;0;0.75;1;1556;1;2138;4.32;54.9;2.0;2.0;28.37;203.3;200;448;2158,7251057624817
4;0;1;1;1966;1;2283;5.19;68.48;2.0;2.0;35.74;227.36;234;491;2197,29940366745
4;1;0.25;1;518;1;1409;1.94;3.21;1.0;1.0;9.49;20.57;107;185;2073,446424484253
4;1;0.5;1;951;1;1774;2.71;4.41;1.0;1.0;17.37;34.42;149;240;2052,350359916687
4;1;0.75;1;1555;1;2137;3.77;5.41;1.0;1.0;28.34;42.68;196;271;2065,7611062526703
4;1;1;1;1966;1;2282;4.53;6.02;1.0;1.0;35.72;48.21;222;288;2048,3587481975555
4;2;0.25;1;78;1;2196;2.06;57.15;1.0;2.0;3.68;224.22;60;396;2189,5832130908966
4;2;0.5;1;137;1;2870;2.77;80.69;1.0;2.0;6.13;272.91;95;602;2290,6380274295807
4;2;0.75;1;241;1;3626;3.86;104.49;2.0;2.0;10.5;324.85;146;740;2446,6112797260284
4;2;1;1;306;1;3736;4.57;124.9;2.0;2.0;13.12;379.2;176;847;2642,468150615692
6;0;0.25;1;692;1;1890;3.43;22.43;1.0;2.0;19.65;123.87;206;368;2105,74884057045
6;0;0.5;1;1256;1;2209;5.37;38.59;2.0;2.0;35.55;169.22;298;520;2120,1231837272644
6;0;0.75;1;2059;1;2657;8.02;60.49;2.0;2.0;57.27;216.65;370;612;2166,2369015216827
6;0;1;1;2599;1;2826;9.94;75.1;2.0;2.0;72.81;243.0;421;646;2212,077965259552
6;1;0.25;1;689;1;1742;3.23;5.57;1.0;1.0;19.62;38.04;208;326;2066,136570930481
6;1;0.5;1;1254;1;2208;5.02;8.55;1.0;1.0;35.51;66.3;295;419;2072,2199687957764
6;1;0.75;1;2058;1;2656;7.48;11.01;1.0;1.0;57.23;85.97;369;442;2087,626155614853
6;1;1;1;2598;1;2825;9.28;12.66;1.0;1.0;72.79;98.45;402;439;2090,0458674430847
6;2;0.25;1;152;1;2621;3.37;83.11;1.0;2.0;9.94;294.57;117;684;2364,954006433487
6;2;0.5;1;249;1;3424;4.97;113.5;1.0;2.0;16.61;372.05;183;829;2726,255405664444
6;2;0.75;1;428;1;4188;7.71;153.96;2.0;2.0;29.21;494.35;295;928;2889,6310698986053
6;2;1;1;540;1;4518;9.41;183.98;2.0;2.0;37.09;582.7;348;980;3239,099145889282
