;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC000;1;0,678851246;0,671572934;0,471385643;0,243501046;0,149034243;x;0,544360608;0,372081602;0,283674637;x;0,544601372;0,393775878;0,371680324;0,131798892;0,461452732;0,495424698;0,509425984;0,507080044;0,340927317;0,45293577;0,475622091;0,501302629;0,412410725;0,471372683;0,492260377;0,497820789;0,157287413;0,185292507;0,209908397;0,399575491;x;0,075182778;0,125220151;0,377680465;0,161896531;0,145881655;0,196301942;0,354134149;0,336658522;0,336658522;0,336658522;0,314235096;0,158384881;x;-0,044690382;0,389672613;0,288477988;0,11337597;x;0,403736508;0,339565352;0,203193091;0,115706427;-0,137202517;0,443421473;0,457473987;0,466007003;-0,156966705;0,452131699;0,470189777;0,48149087;0,161021037;0,459790526;0,477691196;0,476964302;0,087481665;0,216697201;0,062859336;0,12956606;x;0,205469183;x;x;0,146457558;0,228545122;0,268583268;0,339662217;x;-0,051902677;0,263953624;0,561598779;0,636590293;0,547848676
IC010;0,678851246;1;0,684592592;0,477061672;0,235602299;0,151371758;x;0,563380226;0,375652767;0,286859022;x;0,557302985;0,417774176;0,374598628;0,13261987;0,461617742;0,501752694;0,512535525;0,511088745;0,341400903;0,46397077;0,487815609;0,510824399;0,404423133;0,470354468;0,494118703;0,499739688;0,159809973;0,178143252;0,217649107;0,400840987;0,03348631;0,07739631;0,110493826;0,382593364;0,149496399;0,147039618;0,196897552;0,332947914;0,361491611;0,361491611;0,361491611;0,316063928;0,151008305;x;-0,051169769;0,40474009;0,290596794;0,111117183;x;0,394599923;0,324711068;0,201690563;0,114217997;-0,141123113;0,452153584;0,467921541;0,472962754;-0,157006951;0,46068516;0,480368244;0,487823959;0,166614511;0,462928324;0,483450222;0,479392275;0,113548961;0,212823911;0,071350993;0,140802186;0,045053991;0,199929912;x;x;0,144967432;0,219488723;0,2397457;0,318812301;x;-0,038481823;0,25652762;0,564067307;0,650658898;0,554348671
IC020;0,671572934;0,684592592;1;0,485074447;0,260255638;0,155268789;x;0,571033906;0,37018046;0,2816646;x;0,564584548;0,425371382;0,38497566;0,110150519;0,468477756;0,50047412;0,512189661;0,51092353;0,348662793;0,455795433;0,474515972;0,504006831;0,414096231;0,472478983;0,494206457;0,498478246;0,161616933;0,182423282;0,234421512;0,400776828;x;0,076177528;0,129816907;0,386743429;0,15429351;0,161259727;0,193419668;0,335687128;0,337006773;0,337006773;0,337006773;0,296936819;0,156827918;x;-0,033008156;0,368221131;0,277047813;0,11249319;x;0,382854642;0,3269194;0,200179603;0,126512844;-0,133501152;0,432208936;0,452359977;0,461997808;-0,148665765;0,440690553;0,464899983;0,477107087;0,16204637;0,453131359;0,47536761;0,473176607;0,095456632;0,235362828;0,057588074;0,135244511;x;0,22411372;x;x;0,130902854;0,221725973;0,254629058;0,325818709;x;-0,046731035;0,266618443;0,559080963;0,645696226;0,540759718
IC100.25;0,471385643;0,477061672;0,485074447;1;0,363873621;0,233833726;x;0,589383245;0,399194673;0,308828045;x;0,591253996;0,46274602;0,390674405;0,141544714;0,36674897;0,390436289;0,397308498;0,394104136;0,24570854;0,320614208;0,336451991;0,355850182;0,337076495;0,375042113;0,391296996;0,38991922;0,174308316;0,180889086;0,207787801;0,323013353;x;0,065169804;0,094963191;0,25608232;0,153913877;0,173527915;0,206516529;0,281825913;0,244922933;0,244922933;0,244922933;0,250876909;0,136001594;x;x;0,298866223;0,222037055;0,078124747;x;0,312547805;0,285234996;0,194944993;0,15218545;-0,097316213;0,301776151;0,323567055;0,329576029;-0,108198924;0,308823775;0,334557;0,340585524;0,14823359;0,357105001;0,377846204;0,37390197;0,081416345;0,150719705;x;0,067145183;0,035014565;0,143005112;x;x;0,148977674;0,206306687;0,231883479;0,280063559;0,043915192;x;0,281614127;0,48047185;0,509688441;0,460092189
IC100.5;0,243501046;0,235602299;0,260255638;0,363873621;1;0,288639576;0,050940331;0,288820624;0,399266508;0,30631637;x;0,306486496;0,389476451;0,323357412;0,154123277;0,184269973;0,203451878;0,204850828;0,202164867;0,087997925;0,119032946;0,13577615;0,139031127;0,178752757;0,203538146;0,207685117;0,217269291;0,130415283;0,150126155;0,146316575;0,200798438;x;x;x;0,071511406;0,140484434;0,134207374;0,142977231;0,168378212;0,120307708;0,120307708;0,120307708;0,146814629;0,091961654;x;x;0,167631205;0,112249894;0,048018979;x;0,171184908;0,164054227;0,144447685;0,129505367;x;0,118479479;0,133380253;0,1362219;x;0,124926911;0,141531851;0,143940498;0,156820995;0,202761674;0,208531908;0,211502972;0,053373073;0,079447213;x;-0,034269579;x;0,073444108;-0,037101174;-0,091020166;0,11830229;0,170628992;0,17619243;0,193221868;0,128121919;x;0,232904638;0,298038676;0,294861634;0,253784893
IC100.75;0,149034243;0,151371758;0,155268789;0,233833726;0,288639576;1;x;0,199233842;0,249395666;0,298566955;x;0,193380175;0,241139861;0,279693838;0,126673164;0,147241351;0,158022705;0,154998123;0,156676488;0,087441178;0,100193653;0,097248283;0,105992701;0,146342452;0,165562814;0,169371354;0,171613315;0,115459394;0,114949517;0,124493491;0,152062962;x;x;x;0,05720274;0,098163251;0,124578531;0,104115086;0,14099516;0,089886634;0,089886634;0,089886634;0,085087114;0,066677267;x;x;0,091099222;0,078625909;0,032404395;x;0,117423295;0,117273308;0,121443268;0,115752852;x;0,11896863;0,113293487;0,107544863;-0,044047015;0,118920698;0,114889502;0,11110897;0,114335342;0,172758584;0,167073239;0,169294078;0,033397766;0,078187686;x;x;x;0,06614399;x;-0,076854449;0,108488352;0,143565075;0,107942544;0,123500796;0,094207109;x;0,180799504;0,206187554;0,193378167;0,182916016
IC101;x;x;x;x;0,050940331;x;1;x;x;x;0,059306804;x;x;0,033050099;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,056572219;x;x;x;0,046332908;x;x;x;0,05329265;x;x;x;x;x;x;x;x;-0,036139651;x;-0,048786783;x;x;x;x;x;-0,060260841;x;x;x;x
IC110.25;0,544360608;0,563380226;0,571033906;0,589383245;0,288820624;0,199233842;x;1;0,455238421;0,336562873;x;0,470557709;0,359143433;0,323221701;0,114445156;0,389602608;0,417034775;0,426063609;0,422422043;0,286920893;0,378322373;0,399620192;0,42058409;0,343040737;0,38769441;0,403660796;0,407360077;0,155280438;0,160038864;0,20718412;0,32766334;0,036951651;0,072817754;0,100688788;0,32049041;0,114840127;0,147945156;0,182920067;0,279045347;0,281701674;0,281701674;0,281701674;0,272197754;0,14248073;x;-0,045895816;0,325509382;0,247464051;0,102501281;x;0,335893835;0,273260212;0,167649756;0,10020579;-0,12679678;0,365689369;0,379752982;0,382973854;-0,149373997;0,375125219;0,393591853;0,399495479;0,107063757;0,371081045;0,3917366;0,390663919;0,066281501;0,174885508;0,053366144;0,106828624;x;0,17044175;x;x;0,110427746;0,190875059;0,229170858;0,276063488;x;x;0,247178732;0,495148785;0,579415996;0,478538755
IC110.5;0,372081602;0,375652767;0,37018046;0,399194673;0,399266508;0,249395666;x;0,455238421;1;0,469298038;x;0,30590472;0,238220035;0,220794427;0,096295043;0,242908163;0,258522338;0,263235408;0,261133643;0,170835131;0,237155932;0,246158894;0,257282614;0,213181365;0,236704686;0,252013066;0,255002627;0,103666943;0,111830319;0,129833877;0,205377039;x;0,052801913;0,072563366;0,192491024;0,095437414;0,092361093;0,100811786;0,186137882;0,186743936;0,186743936;0,186743936;0,175870064;0,110899924;x;x;0,220476428;0,183363741;0,096493046;x;0,211445177;0,189106663;0,111616036;0,056756324;-0,047452452;0,226732488;0,239071918;0,238457195;-0,057738798;0,236988743;0,253819746;0,255687846;0,084476208;0,238396499;0,244821382;0,250466187;0,041683172;0,095066534;x;0,042541248;x;0,094878026;x;x;0,06532715;0,137781442;0,132325193;0,173172855;x;x;0,21939289;0,349854948;0,427026612;0,362451559
IC110.75;0,283674637;0,286859022;0,2816646;0,308828045;0,30631637;0,298566955;x;0,336562873;0,469298038;1;x;0,246553858;0,189109373;0,184303529;0,089365027;0,182095158;0,194567564;0,195928543;0,192750202;0,141417691;0,171890016;0,181836158;0,189006725;0,155654989;0,183454324;0,187979253;0,189644414;0,091991099;0,099442686;0,108947378;0,164106193;x;0,053969457;0,055582428;0,139220621;0,098462239;0,07148179;0,097579077;0,156460004;0,133237459;0,133237459;0,133237459;0,133719688;0,085555046;x;-0,037629961;0,157193643;0,135972279;0,061610645;x;0,158003487;0,137318784;0,081774889;0,036640068;x;0,170684355;0,168558882;0,158942007;-0,034637432;0,18174957;0,184422514;0,179183579;0,06398208;0,179562364;0,185446744;0,186168677;0,040968991;0,091061375;x;x;x;0,093450572;x;x;0,054210925;0,091172529;0,098532045;0,138575262;x;x;0,196677306;0,273538534;0,33587247;0,285233466
