;IC000;IC010;IC020;IC100.25;IC100.5;IC100.75;IC101;IC110.25;IC110.5;IC110.75;IC111;IC120.25;IC120.5;IC120.75;IC121;IC400.25;IC400.5;IC400.75;IC401;IC410.25;IC410.5;IC410.75;IC411;IC420.25;IC420.5;IC420.75;IC421;IC600.25;IC600.5;IC600.75;IC601;IC610.25;IC610.5;IC610.75;IC611;IC620.25;IC620.5;IC620.75;IC621;LT000;LT010;LT020;LT100.25;LT100.5;LT100.75;LT101;LT110.25;LT110.5;LT110.75;LT111;LT120.25;LT120.5;LT120.75;LT121;LT400.25;LT400.5;LT400.75;LT401;LT410.25;LT410.5;LT410.75;LT411;LT420.25;LT420.5;LT420.75;LT421;LT600.25;LT600.5;LT600.75;LT601;LT610.25;LT610.5;LT610.75;LT611;LT620.25;LT620.5;LT620.75;LT621;IN-CLOSSENESS;OUT-CLOSENESS;DEGREE;IN-DEGREE;OUT-DEGREE;BETWEENNESS
IC000;1;0,668721239;0,671439355;0,518906517;0,422868445;0,056230279;0,051654131;0,670323243;0,665259684;0,681776004;0,680893751;0,514090856;0,407063132;-0,033555567;-0,040359463;0,405404626;0,321815301;0,051089385;0,042408138;0,661234112;0,659847336;0,673356036;0,674428319;0,389561005;0,299515256;-0,046870607;-0,049618125;0,408166571;0,339801496;0,057347021;0,055043781;0,664975681;0,659377832;0,672586772;0,672898286;0,393771071;0,308639847;-0,041008054;-0,043419625;0,590258715;0,590258715;0,590258715;0,413490506;0,308459215;0,168464551;0,077644732;0,615206992;0,63377174;0,656101839;0,674065175;0,385846317;0,262081898;0,097956563;x;0,436950216;0,327712419;0,1783394;0,075236018;0,634839438;0,649950989;0,66203875;0,670901778;0,32754218;0,213928346;0,070344779;-0,013275945;0,437272045;0,326330419;0,178197095;0,075553295;0,636057047;0,649526935;0,661870599;0,670740364;0,333230148;0,220827488;0,072612125;-0,014877169;-0,353011114;0,696175163;0,402445179;-0,370581934;0,70103956;0,285431674
IC010;0,668721239;1;0,673001751;0,519628962;0,429423141;0,056719279;0,049768753;0,670965565;0,660087694;0,677802081;0,678754296;0,511225028;0,411970174;-0,034603648;-0,041312042;0,406101241;0,321635478;0,045930837;0,040404537;0,664000859;0,658438935;0,669555927;0,669149943;0,391109061;0,301957279;-0,048372771;-0,047370896;0,407077933;0,339070289;0,054991155;0,053857037;0,667612274;0,659814042;0,668870819;0,6688433;0,397145286;0,314782976;-0,044778824;-0,046223115;0,586349469;0,586349469;0,586349469;0,412987531;0,307291779;0,168060468;0,077218154;0,613937213;0,631582752;0,655376517;0,671857367;0,381688806;0,257632475;0,096637559;x;0,434359868;0,324571256;0,174200254;0,072266323;0,63109831;0,64491052;0,656571734;0,665652496;0,324890599;0,210037672;0,068110506;-0,014029255;0,433879683;0,322484873;0,174138001;0,073715004;0,631378754;0,644097033;0,656745914;0,666620476;0,331075897;0,217509274;0,071322717;-0,014690674;-0,3546217;0,693514434;0,401259986;-0,373917123;0,698854819;0,278939132
IC020;0,671439355;0,673001751;1;0,520471778;0,431802356;0,054438854;0,047683913;0,664724892;0,663858693;0,680085483;0,679926522;0,510472164;0,415221445;-0,025593615;-0,035979287;0,409183625;0,31984746;0,050411902;0,043301796;0,663370321;0,658880746;0,671969787;0,672079826;0,393222516;0,298488545;-0,043762746;-0,042161113;0,406944871;0,339751776;0,057303976;0,056770448;0,664645156;0,657881058;0,671493483;0,671557436;0,396413;0,310967467;-0,035022139;-0,036158325;0,591790695;0,591790695;0,591790695;0,41556824;0,3102571;0,168221713;0,077458515;0,617090724;0,634314979;0,655365435;0,673115382;0,387821452;0,264334597;0,102740631;x;0,43638735;0,327393175;0,175448363;0,072719931;0,633814798;0,648698966;0,659196231;0,667901233;0,329376416;0,217138127;0,075284756;x;0,437126531;0,325961031;0,177277072;0,075533474;0,634902618;0,648231541;0,660431369;0,66956265;0,336575355;0,223520396;0,077827032;x;-0,349208862;0,695294862;0,405487297;-0,367002194;0,699535485;0,291038578
IC100.25;0,518906517;0,519628962;0,520471778;1;0,651539081;0,103733342;0,096725145;0,58101845;0,56772717;0,541354166;0,540685809;0,732881467;0,599129954;0,037313127;0,029668045;0,622681269;0,495898985;0,080733333;0,06729523;0,573642025;0,561880583;0,53120517;0,530907352;0,575851886;0,452688685;0,010192354;x;0,621321781;0,514288183;0,086698705;0,084467403;0,571247062;0,560114904;0,530159279;0,529207169;0,573010282;0,465675263;0,011190275;0,010796182;0,459033409;0,459033409;0,459033409;0,343596994;0,269566551;0,173210265;0,108764352;0,481026552;0,496147962;0,518766308;0,533689268;0,321731238;0,23287458;0,118842609;0,045129691;0,367158754;0,289042131;0,178569652;0,102587408;0,502725963;0,516071846;0,522520149;0,528229417;0,284342913;0,199150362;0,091923743;0,029180225;0,366615799;0,28683573;0,178328569;0,101496146;0,502940731;0,514846668;0,522418855;0,527411478;0,286031792;0,202397275;0,097244896;0,034265908;-0,213282903;0,552681986;0,386719819;-0,225408706;0,549035903;0,266016447
IC100.5;0,422868445;0,429423141;0,431802356;0,651539081;1;0,149290033;0,14186531;0,47808175;0,518087027;0,455724655;0,454051029;0,60713297;0,752313458;0,088535596;0,07760888;0,524169056;0,631506717;0,109303696;0,092249782;0,476853774;0,505057727;0,44447534;0,443430327;0,484051159;0,575433557;0,051556678;0,046606764;0,522927879;0,652983396;0,118332216;0,113516567;0,474811338;0,503348919;0,444675449;0,443550409;0,481109817;0,587337161;0,059603679;0,057919342;0,378660996;0,378660996;0,378660996;0,3031342;0,255431671;0,183066105;0,138106236;0,399359166;0,415071628;0,435489823;0,448055386;0,283934884;0,223460181;0,136252268;0,085498959;0,325855507;0,270772186;0,184080108;0,129184034;0,421426894;0,432294232;0,438220358;0,441909796;0,260679491;0,194860455;0,107045325;0,062655399;0,324738692;0,266362585;0,183263896;0,129532097;0,421020151;0,429190168;0,437872426;0,441753126;0,258408269;0,194617942;0,110759022;0,067895274;-0,130651793;0,464370527;0,3743667;-0,140835398;0,455320813;0,256532556
IC100.75;0,056230279;0,056719279;0,054438854;0,103733342;0,149290033;1;0,590175321;0,062948473;0,06422645;0,086327873;0,084764223;0,098977392;0,134215628;0,485874429;0,457099719;0,160530585;0,194104573;0,449100868;0,432169706;0,081179158;0,085860664;0,071706936;0,067661625;0,137195979;0,165431733;0,367472995;0,361041624;0,154173991;0,18634951;0,46778997;0,452717893;0,085500553;0,081975189;0,072989221;0,070248954;0,136348277;0,158607432;0,388585185;0,368732191;x;x;x;0,10294997;0,195194773;0,340481087;0,452517506;0,021985201;0,038849216;0,063630091;0,076062441;0,080564557;0,157751008;0,274716374;0,369497426;0,137801031;0,221398452;0,335723175;0,42966826;0,060818831;0,071674004;0,071267192;0,068516877;0,134104897;0,176226788;0,249089956;0,291673366;0,135019228;0,213597822;0,335290115;0,431687094;0,058780859;0,065384148;0,070564278;0,069330066;0,11971109;0,170358471;0,25764341;0,315309113;0,181052902;0,071448656;0,214104507;0,136962708;0,029100243;0,20758601
IC101;0,051654131;0,049768753;0,047683913;0,096725145;0,14186531;0,590175321;1;0,055950567;0,058860165;0,079810453;0,079629216;0,095898665;0,12967811;0,458536367;0,467409706;0,155918473;0,187422366;0,441741525;0,438877929;0,077912462;0,083621221;0,064427537;0,063641229;0,129677437;0,159822063;0,360224175;0,367529759;0,151607691;0,177681438;0,454817268;0,459592626;0,082234121;0,078553485;0,066214355;0,065354454;0,131467709;0,152850194;0,38085925;0,369906229;x;x;x;0,101621299;0,188660928;0,339430522;0,46084492;0,014665782;0,029818998;0,055619234;0,069168227;0,081282196;0,15344835;0,275119648;0,378478023;0,13817299;0,21601083;0,341528729;0,442796938;0,055231914;0,065303219;0,067331221;0,063660064;0,13358035;0,175987952;0,252416232;0,302801981;0,135313191;0,211633552;0,340192176;0,4434407;0,053244475;0,061470613;0,067071981;0,064193391;0,117084029;0,164741749;0,259414158;0,327153111;0,186160413;0,066386771;0,213480424;0,144788431;0,023686759;0,211317019
IC110.25;0,670323243;0,670965565;0,664724892;0,58101845;0,47808175;0,062948473;0,055950567;1;0,735092026;0,727220123;0,725589154;0,50022876;0,400686359;-0,053655474;-0,05979482;0,452278681;0,362520127;0,051132416;0,041671318;0,729427164;0,729080642;0,71601799;0,716015125;0,381492035;0,284995899;-0,06980409;-0,070090876;0,450246737;0,38036392;0,061908057;0,056129609;0,733822099;0,724212404;0,715559661;0,715193272;0,384772213;0,29680186;-0,064948245;-0,066396152;0,621216748;0,621216748;0,621216748;0,435565672;0,325976665;0,183026741;0,083325252;0,648287647;0,671362915;0,700830197;0,71752759;0,405876973;0,273894299;0,104202118;x;0,464618609;0,350329801;0,191417987;0,080874146;0,673247371;0,691569753;0,70412;0,71283365;0,345902499;0,225310391;0,073092186;-0,016155539;0,463624007;0,347493862;0,191056453;0,081080461;0,672992786;0,689564944;0,703823492;0,713029217;0,353512104;0,232535616;0,077677735;-0,015404989;-0,365954899;0,737929946;0,428777027;-0,384994172;0,740228063;0,308597305
IC110.5;0,665259684;0,660087694;0,663858693;0,56772717;0,518087027;0,06422645;0,058860165;0,735092026;1;0,758323759;0,75704023;0,494367932;0,393622624;-0,074390049;-0,081623253;0,444772685;0,390107477;0,053649221;0,045281185;0,73402393;0,776997032;0,748498657;0,747714616;0,371969204;0,278253902;-0,090893065;-0,090790694;0,448800355;0,411472041;0,065197455;0,061529424;0,730629308;0,77469419;0,74840819;0,747385089;0,376006009;0,290615096;-0,083514105;-0,083851738;0,646006555;0,646006555;0,646006555;0,452892552;0,339726528;0,190079975;0,088717002;0,675721251;0,700443487;0,729750113;0,748775371;0,420457943;0,284369676;0,108310183;x;0,482706762;0,364696483;0,199443194;0,084460993;0,701438481;0,721728749;0,735537368;0,7441186;0,357646001;0,232442521;0,075126178;-0,01692251;0,482878409;0,363074811;0,200143274;0,085718351;0,702275396;0,720826644;0,736285791;0,744930507;0,366069755;0,241632994;0,079450678;-0,017111886;-0,38933869;0,767890099;0,435413354;-0,409893571;0,768561929;0,312304301
IC110.75;0,681776004;0,677802081;0,680085483;0,541354166;0,455724655;0,086327873;0,079810453;0,727220123;0,758323759;1;0,979513583;0,487155288;0,368381242;-0,193686877;-0,202658292;0,426746774;0,346766093;0,072447621;0,06270413;0,754245172;0,793176079;0,966564536;0,964885187;0,34747703;0,23568422;-0,212344426;-0,211866568;0,426139157;0,368108704;0,083198238;0,077953813;0,757599425;0,794483783;0,967168098;0,965793398;0,353980279;0,248163943;-0,201575929;-0,206869968;0,784794895;0,784794895;0,784794895;0,554790589;0,415812815;0,237235503;0,112732;0,837418856;0,876402715;0,932484642;0,96701553;0,501490658;0,327293459;0,102777383;-0,04647565;0,610574095;0,464328429;0,255038118;0,107207869;0,891438879;0,925089924;0,95003299;0,961975316;0,429590073;0,26909094;0,066842274;-0,05417792;0,609588007;0,459267245;0,253610208;0,106686839;0,891601371;0,922389278;0,949019649;0,961454683;0,439018406;0,279321741;0,070411644;-0,055393577;-0,502404854;0,974356721;0,510538387;-0,534174697;0,957222344;0,36938393
